frame_number,object_id,x,y,w,h,class,species,occlusion,noise
23,1,300,332,11,23,1,0,0,0
24,1,551,267,16,14,0,1,0,1
24,2,565,281,15,14,0,1,0,1
25,1,443,69,11,26,1,0,0,0
25,2,463,88,11,19,1,0,0,0
25,3,451,78,10,20,1,0,0,0
26,1,550,235,16,14,0,1,0,1
26,2,565,247,15,14,0,1,0,1
27,1,131,63,14,19,1,0,0,0
28,1,334,138,21,18,0,1,0,0
29,1,109,152,15,15,0,-1,0,0
29,3,76,159,16,16,0,-1,0,0
29,4,275,172,14,11,0,-1,0,0
30,1,513,237,16,14,0,1,0,0
30,2,525,251,15,14,0,1,0,0
31,1,491,228,16,14,0,1,0,0
31,2,503,244,15,11,0,1,0,0
32,1,383,287,9,14,1,0,0,0
32,2,392,332,9,13,1,0,0,0
33,1,286,136,21,18,0,1,0,1
34,1,319,338,11,23,1,0,0,0
35,1,78,165,15,15,0,-1,0,0
35,2,148,244,18,14,0,-1,0,0
35,3,41,161,16,16,0,-1,0,0
35,4,192,222,14,11,0,-1,0,0
36,1,390,237,9,14,1,0,0,0
36,2,413,306,9,13,1,0,0,0
37,1,288,49,11,26,1,0,0,0
37,2,309,68,12,20,1,0,0,0
37,3,296,59,10,21,1,0,0,0
38,1,278,326,11,23,1,0,0,0
39,1,317,338,11,23,1,0,0,0
40,1,433,69,11,26,1,0,0,0
40,2,454,89,10,17,1,0,0,0
40,3,441,79,10,18,1,0,0,0
41,1,550,267,16,14,0,1,0,1
41,2,564,281,15,14,0,1,0,1
42,1,181,49,11,26,1,0,0,0
42,2,201,67,12,21,1,0,0,0
42,3,191,59,10,20,1,0,0,0
43,1,77,166,15,15,0,-1,0,0
43,2,144,246,18,14,0,-1,0,0
43,3,41,161,16,16,0,-1,0,0
43,4,186,226,14,11,0,-1,0,0
44,1,319,138,21,18,0,1,0,0
45,1,573,257,16,14,0,1,0,0
45,2,587,269,15,14,0,1,0,0
46,1,72,171,15,15,0,-1,0,0
46,2,133,254,18,14,0,-1,0,0
46,3,37,164,16,16,0,-1,0,0
46,4,174,233,14,11,0,-1,0,0
47,1,289,136,21,18,0,1,0,0
48,1,290,135,21,18,0,1,0,0
49,1,348,215,10,16,1,0,0,0
49,2,367,243,9,13,1,0,0,0
50,1,278,329,11,23,1,0,0,0
51,1,381,234,11,23,1,0,0,0
52,1,290,332,11,23,1,0,0,0
53,1,89,168,15,15,0,-1,0,0
53,2,135,255,18,14,0,-1,0,0
53,3,59,161,16,16,0,-1,0,0
53,4,177,239,14,11,0,-1,0,0
54,1,551,239,16,14,0,1,0,1
54,2,564,253,15,14,0,1,0,1
55,1,327,141,21,18,0,1,0,0
56,1,377,263,9,14,1,0,0,0
56,2,387,299,9,13,1,0,0,0
57,1,395,176,9,14,1,0,0,0
57,2,406,226,9,13,1,0,0,0
58,1,335,137,21,18,0,1,0,1
59,1,539,284,18,16,0,1,0,1
59,2,553,299,17,14,0,1,0,1
60,1,420,61,11,26,1,0,0,0
60,2,439,80,11,18,1,0,0,0
60,3,428,72,11,20,1,0,0,0
61,1,447,69,11,26,1,0,0,0
61,2,466,85,11,20,1,0,0,0
61,3,453,78,11,18,1,0,0,0
62,1,336,65,8,20,1,0,0,0
62,3,341,77,10,15,1,0,0,0
62,2,349,84,9,17,1,0,0,0
63,1,308,336,11,23,1,0,0,0
64,1,387,115,21,18,0,1,0,1
65,1,391,201,9,14,1,0,0,0
65,2,403,251,9,13,1,0,0,0
66,1,78,168,15,15,0,-1,0,0
66,2,144,249,18,14,0,-1,0,0
66,3,43,163,16,16,0,-1,0,0
66,4,186,227,14,11,0,-1,0,0
67,1,184,47,11,26,1,0,0,0
67,2,204,66,13,17,1,0,0,0
67,3,193,58,10,20,1,0,0,0
68,1,349,211,9,16,1,0,0,0
68,2,369,235,9,13,1,0,0,0
69,1,420,116,11,23,1,0,0,0
70,1,86,169,15,15,0,-1,0,0
70,2,131,256,18,14,0,-1,0,0
70,3,57,160,16,16,0,-1,0,0
70,4,171,241,14,11,0,-1,0,0
71,1,491,228,16,14,0,1,0,0
71,2,503,244,15,11,0,1,0,0
72,1,565,257,16,14,0,1,0,1
72,2,578,269,15,14,0,1,0,1
73,1,70,165,15,15,0,-1,0,0
73,2,154,244,18,14,0,-1,0,0
73,3,29,164,16,16,0,-1,0,0
73,4,193,222,14,11,0,-1,0,0
74,1,317,137,21,18,0,1,0,0
75,1,386,197,11,23,1,0,0,0
76,1,83,156,15,15,0,-1,0,0
76,2,200,219,18,14,0,-1,0,0
76,3,41,158,16,16,0,-1,0,0
76,4,229,198,14,11,0,-1,0,0
77,1,198,39,11,26,1,0,0,0
77,2,220,53,11,20,1,0,0,0
77,3,207,49,10,18,1,0,0,0
78,1,349,264,9,14,1,0,0,0
78,2,371,345,9,13,1,0,0,0
79,1,63,172,15,15,0,-1,0,0
79,2,167,238,18,14,0,-1,0,0
79,3,18,174,16,16,0,-1,0,0
79,4,201,216,14,11,0,-1,0,0
80,1,206,57,11,23,1,0,0,0
81,1,311,137,21,18,0,1,0,1
82,1,102,149,15,15,0,-1,0,0
82,3,76,157,16,16,0,-1,0,0
82,4,277,155,14,11,0,-1,0,0
83,1,433,69,11,26,1,0,0,0
83,2,454,86,10,20,1,0,0,0
83,3,441,78,11,19,1,0,0,0
84,1,549,254,16,14,0,1,0,1
84,2,564,267,15,14,0,1,0,1
85,1,140,62,14,19,1,0,0,0
86,1,421,102,11,23,1,0,0,0
87,1,57,161,15,15,0,-1,0,0
87,2,171,225,18,14,0,-1,0,0
87,3,14,162,16,16,0,-1,0,0
87,4,204,203,14,11,0,-1,0,0
88,1,545,255,16,14,0,1,0,1
88,2,560,268,15,14,0,1,0,1
89,1,69,158,15,15,0,-1,0,0
89,2,183,221,18,14,0,-1,0,0
89,3,24,160,16,16,0,-1,0,0
89,4,215,199,14,11,0,-1,0,0
90,1,89,168,15,15,0,-1,0,0
90,2,138,255,18,14,0,-1,0,0
90,3,60,160,16,16,0,-1,0,0
90,4,180,239,14,11,0,-1,0,0
91,1,111,149,15,15,0,-1,0,0
91,3,83,159,16,16,0,-1,0,0
91,4,283,159,14,11,0,-1,0,0
92,1,393,91,11,23,1,0,0,0
93,1,277,325,11,23,1,0,0,0
94,1,339,137,21,18,0,1,0,0
95,1,104,152,15,15,0,-1,0,0
95,3,76,159,16,16,0,-1,0,0
95,4,274,168,14,11,0,-1,0,0
96,1,70,171,15,15,0,-1,0,0
96,2,132,253,18,14,0,-1,0,0
96,3,34,163,16,16,0,-1,0,0
96,4,173,233,14,11,0,-1,0,0
97,1,277,325,11,23,1,0,0,0
98,1,335,271,9,14,1,0,0,0
98,2,357,357,9,13,1,0,0,0
99,1,512,237,16,14,0,1,0,0
99,2,525,251,15,14,0,1,0,0
100,1,402,196,9,14,1,0,0,0
100,2,417,255,9,13,1,0,0,0
101,1,276,325,11,23,1,0,0,0
102,1,374,248,9,14,1,0,0,0
102,2,388,280,9,13,1,0,0,0
103,1,389,113,21,19,0,1,0,0
104,1,391,234,9,14,1,0,0,0
104,2,413,301,9,13,1,0,0,0
105,1,395,59,9,24,1,0,0,0
105,2,412,77,11,24,1,0,0,0
105,3,402,66,8,21,1,0,0,0
106,1,71,169,15,15,0,-1,0,0
106,2,136,252,18,14,0,-1,0,0
106,3,37,163,16,16,0,-1,0,0
106,4,179,230,14,11,0,-1,0,0
107,1,550,234,16,14,0,1,0,1
107,2,564,246,15,14,0,1,0,1
108,1,278,328,11,23,1,0,0,0
109,1,498,230,15,12,0,1,0,0
109,2,511,246,16,12,0,1,0,0
110,1,280,332,11,23,1,0,0,0
111,1,375,259,9,14,1,0,0,0
111,2,386,295,9,13,1,0,0,0
112,1,413,59,11,26,1,0,0,0
112,2,432,77,12,20,1,0,0,0
112,3,420,68,9,18,1,0,0,0
113,1,350,52,11,26,1,0,0,0
113,2,369,69,11,20,1,0,0,0
113,3,357,62,11,19,1,0,0,0
114,1,344,311,11,23,1,0,0,0
115,1,366,230,10,16,1,0,0,0
115,2,384,259,9,13,1,0,0,0
116,1,329,274,9,14,1,0,0,0
116,2,351,363,9,13,1,0,0,0
117,1,164,56,11,23,1,0,0,0
118,1,189,45,11,26,1,0,0,0
118,2,209,60,13,22,1,0,0,0
118,3,198,56,10,19,1,0,0,0
119,1,96,148,15,15,0,-1,0,0
119,3,72,155,16,16,0,-1,0,0
119,4,272,153,14,11,0,-1,0,0
120,1,553,264,16,14,0,1,0,1
120,2,567,278,15,14,0,1,0,1
121,1,355,260,11,23,1,0,0,0
122,1,555,262,16,14,0,1,0,0
122,2,568,276,15,14,0,1,0,0
123,1,411,118,11,23,1,0,0,0
124,1,302,136,21,18,0,1,0,1
125,1,395,120,11,23,1,0,0,0
126,2,334,368,9,13,1,0,0,0
127,1,289,136,21,18,0,1,0,0
128,1,325,140,21,18,0,1,0,0
129,1,108,155,15,15,0,-1,0,0
129,3,72,160,16,16,0,-1,0,0
129,4,266,182,14,11,0,-1,0,0
130,1,402,56,11,26,1,0,0,0
130,2,421,73,14,22,1,0,0,0
130,3,409,66,11,20,1,0,0,0
131,1,300,334,11,23,1,0,0,0
132,1,435,115,11,23,1,0,0,0
133,1,212,48,11,26,1,0,0,0
133,2,231,66,13,20,1,0,0,0
133,3,219,59,11,20,1,0,0,0
134,1,107,149,15,15,0,-1,0,0
134,3,82,157,16,16,0,-1,0,0
134,4,282,158,14,11,0,-1,0,0
135,1,352,269,6,12,1,0,0,0
135,2,375,286,9,13,1,0,0,0
136,1,179,47,11,26,1,0,0,0
136,2,199,63,12,20,1,0,0,0
136,3,187,59,10,16,1,0,0,0
137,1,111,149,15,15,0,-1,0,0
137,3,83,159,16,16,0,-1,0,0
137,4,282,161,14,11,0,-1,0,0
138,1,582,250,16,14,0,1,0,0
138,2,597,262,15,14,0,1,0,0
139,1,78,165,15,15,0,-1,0,0
139,2,148,244,18,14,0,-1,0,0
139,3,41,161,16,16,0,-1,0,0
139,4,190,222,14,11,0,-1,0,0
140,1,380,286,9,14,1,0,0,0
140,2,389,329,9,13,1,0,0,0
141,1,111,153,15,15,0,-1,0,0
141,3,81,159,16,16,0,-1,0,0
141,4,281,163,14,11,0,-1,0,0
142,1,371,277,9,14,1,0,0,0
142,2,381,319,9,13,1,0,0,0
143,1,108,155,15,15,0,-1,0,0
143,2,229,214,18,14,0,-1,0,0
143,3,65,159,16,16,0,-1,0,0
143,4,259,191,14,11,0,-1,0,0
144,1,127,65,14,19,1,0,0,0
145,1,320,138,21,18,0,1,0,0
146,1,489,227,16,14,0,1,0,0
146,2,503,244,15,11,0,1,0,0
147,1,399,211,9,14,1,0,0,0
147,2,417,272,9,13,1,0,0,0
148,1,587,243,16,14,0,1,0,0
148,2,602,255,15,14,0,1,0,0
149,1,396,173,9,14,1,0,0,0
149,2,408,224,9,13,1,0,0,0
150,1,576,250,15,13,0,1,0,1
150,2,590,262,14,14,0,1,0,1
151,1,70,173,15,15,0,-1,0,0
151,2,175,240,18,14,0,-1,0,0
151,3,25,175,16,16,0,-1,0,0
151,4,206,217,14,11,0,-1,0,0
152,1,320,275,9,14,1,0,0,0
152,2,340,364,10,17,1,0,0,0
153,1,319,338,11,23,1,0,0,0
154,1,546,244,16,14,0,1,0,0
154,2,560,258,15,14,0,1,0,0
155,1,391,140,11,23,1,0,0,0
156,1,566,258,16,14,0,1,0,0
156,2,579,271,15,14,0,1,0,0
157,1,538,254,16,14,0,1,0,0
157,2,550,268,15,14,0,1,0,0
158,1,309,138,21,18,0,1,0,1
159,1,550,268,16,14,0,1,0,0
159,2,564,282,15,14,0,1,0,0
160,1,386,115,21,18,0,1,0,0
161,1,523,235,18,15,0,1,0,0
161,2,536,250,18,12,0,1,0,0
162,1,109,152,15,15,0,-1,0,0
162,3,76,159,16,16,0,-1,0,0
162,4,275,172,14,11,0,-1,0,0
163,1,399,215,9,14,1,0,0,0
163,2,417,277,9,13,1,0,0,0
164,1,331,68,9,18,1,0,0,0
164,2,343,85,11,17,1,0,0,0
164,3,336,77,10,15,1,0,0,0
165,1,79,170,15,15,0,-1,0,0
165,2,121,256,18,14,0,-1,0,0
165,3,50,161,16,16,0,-1,0,0
165,4,162,244,14,11,0,-1,0,0
166,1,429,115,11,23,1,0,0,0
167,1,299,333,11,23,1,0,0,0
168,1,552,235,15,14,0,1,0,0
168,2,563,249,19,14,0,1,0,0
169,1,349,238,9,12,1,0,0,0
169,2,373,255,9,13,1,0,0,0
170,1,587,243,16,14,0,1,0,0
170,2,602,255,15,14,0,1,0,0
171,1,173,51,11,26,1,0,0,0
171,2,192,67,15,21,1,0,0,0
171,3,181,63,11,16,1,0,0,0
172,1,435,115,11,23,1,0,0,0
173,1,569,257,16,14,0,1,0,1
173,2,583,270,15,14,0,1,0,1
174,1,400,207,9,14,1,0,0,0
174,2,418,269,9,13,1,0,0,0
175,1,361,224,10,16,1,0,0,0
175,2,380,253,9,13,1,0,0,0
176,1,501,234,15,14,0,1,0,1
176,2,512,249,15,13,0,1,0,1
177,1,186,157,15,15,0,-1,0,0
177,2,215,242,18,14,0,-1,0,0
177,3,164,144,16,16,0,-1,0,0
177,4,248,235,14,11,0,-1,0,0
178,1,111,172,15,15,0,-1,0,0
178,2,149,258,18,14,0,-1,0,0
178,3,86,161,16,16,0,-1,0,0
178,4,186,246,14,11,0,-1,0,0
179,1,499,233,16,14,0,1,0,0
179,2,511,248,15,14,0,1,0,0
180,1,104,152,15,15,0,-1,0,0
180,3,76,159,16,16,0,-1,0,0
180,4,272,169,14,11,0,-1,0,0
181,1,489,227,16,14,0,1,0,0
181,2,503,244,15,11,0,1,0,0
182,1,292,134,21,18,0,1,0,0
183,1,282,136,21,18,0,1,0,1
184,1,552,267,16,14,0,1,0,0
184,2,566,281,15,14,0,1,0,0
185,1,97,171,15,15,0,-1,0,0
185,2,136,257,18,14,0,-1,0,0
185,3,69,161,16,16,0,-1,0,0
185,4,175,246,14,11,0,-1,0,0
186,1,74,168,15,15,0,-1,0,0
186,2,170,239,18,14,0,-1,0,0
186,3,30,167,16,16,0,-1,0,0
186,4,206,218,14,11,0,-1,0,0
187,1,276,325,11,23,1,0,0,0
188,1,559,255,16,14,0,1,0,1
188,2,573,267,15,14,0,1,0,1
189,1,375,257,9,14,1,0,0,0
189,2,386,293,9,13,1,0,0,0
190,1,287,332,11,23,1,0,0,0
191,1,396,225,9,14,1,0,0,0
191,2,417,291,9,13,1,0,0,0
192,1,373,117,21,18,0,1,0,1
193,1,420,61,11,26,1,0,0,0
193,2,440,80,10,17,1,0,0,0
193,3,427,72,11,17,1,0,0,0
194,1,283,136,21,18,0,1,0,0
195,1,251,48,11,26,1,0,0,0
195,2,270,65,14,21,1,0,0,0
195,3,258,59,13,21,1,0,0,0
196,1,178,48,11,26,1,0,0,0
196,2,198,63,13,23,1,0,0,0
196,3,186,58,10,18,1,0,0,0
197,1,108,155,15,15,0,-1,0,0
197,2,229,214,18,14,0,-1,0,0
197,3,65,158,16,16,0,-1,0,0
197,4,259,191,14,11,0,-1,0,0
198,1,580,248,16,14,0,1,0,0
198,2,594,260,15,14,0,1,0,0
199,1,358,261,11,23,1,0,0,0
200,1,259,60,11,23,1,0,0,0
201,1,386,115,21,18,0,1,0,0
202,1,415,118,11,23,1,0,0,0
203,1,443,67,11,26,1,0,0,0
203,2,463,84,11,20,1,0,0,0
203,3,451,76,10,21,1,0,0,0
204,1,401,199,9,14,1,0,0,0
204,2,417,258,9,13,1,0,0,0
205,1,387,278,9,14,1,0,0,0
205,2,397,324,9,13,1,0,0,0
206,1,399,117,11,23,1,0,0,0
207,1,385,115,21,18,0,1,0,0
208,1,532,298,16,14,0,1,0,0
208,2,545,312,15,14,0,1,0,0
209,1,300,332,11,23,1,0,0,0
210,1,388,264,9,14,1,0,0,0
210,2,399,309,9,13,1,0,0,0
211,1,546,244,16,14,0,1,0,0
211,2,560,258,15,14,0,1,0,0
212,1,354,259,11,23,1,0,0,0
213,1,434,115,11,23,1,0,0,0
214,1,375,252,9,14,1,0,0,0
214,2,388,288,9,13,1,0,0,0
215,1,126,169,15,15,0,-1,0,0
215,2,162,255,18,14,0,-1,0,0
215,3,101,160,16,16,0,-1,0,0
215,4,198,245,14,11,0,-1,0,0
216,1,429,67,11,26,1,0,0,0
216,2,448,85,11,17,1,0,0,0
216,3,436,77,10,19,1,0,0,0
217,1,109,151,15,15,0,-1,0,0
217,3,76,159,16,16,0,-1,0,0
217,4,275,172,14,11,0,-1,0,0
218,1,498,229,16,14,0,1,0,0
218,2,512,247,13,12,0,1,0,0
219,1,498,231,16,14,0,1,0,0
219,2,511,248,15,14,0,1,0,0
220,1,384,55,11,26,1,0,0,0
220,2,404,73,12,19,1,0,0,0
220,3,391,67,11,18,1,0,0,0
221,1,294,332,11,23,1,0,0,0
222,1,108,155,15,15,0,-1,0,0
222,3,68,161,16,16,0,-1,0,0
222,4,262,187,14,11,0,-1,0,0
223,1,352,260,11,23,1,0,0,0
224,1,400,58,9,18,1,0,0,0
224,2,416,72,13,24,1,0,0,0
224,3,405,67,12,17,1,0,0,0
225,1,98,148,15,15,0,-1,0,0
225,3,72,156,16,16,0,-1,0,0
225,4,274,154,14,11,0,-1,0,0
226,1,81,171,15,15,0,-1,0,0
226,2,125,255,18,14,0,-1,0,0
226,3,53,161,16,16,0,-1,0,0
226,4,166,243,14,11,0,-1,0,0
227,1,386,243,9,14,1,0,0,0
227,2,410,316,9,13,1,0,0,0
228,1,323,339,11,23,1,0,0,0
229,1,447,69,11,26,1,0,0,0
229,2,466,88,12,18,1,0,0,0
229,3,453,77,10,19,1,0,0,0
230,1,306,336,11,23,1,0,0,0
231,1,380,252,9,14,1,0,0,0
231,2,402,327,9,13,1,0,0,0
232,1,108,155,15,15,0,-1,0,0
232,3,69,161,16,16,0,-1,0,0
232,4,262,187,14,11,0,-1,0,0
233,1,178,48,11,26,1,0,0,0
233,2,198,65,13,21,1,0,0,0
233,3,186,57,10,21,1,0,0,0
234,1,197,51,11,26,1,0,0,0
234,2,217,67,11,21,1,0,0,0
234,3,205,58,12,24,1,0,0,0
235,1,548,273,16,14,0,1,0,0
235,2,562,287,15,14,0,1,0,0
236,1,572,252,15,13,0,1,0,0
236,2,586,265,14,14,0,1,0,0
237,1,402,56,11,26,1,0,0,0
237,2,422,75,11,20,1,0,0,0
237,3,408,65,13,23,1,0,0,0
238,1,78,165,15,15,0,-1,0,0
238,2,152,244,18,14,0,-1,0,0
238,3,35,161,16,16,0,-1,0,0
238,4,192,222,14,11,0,-1,0,0
239,1,376,264,9,14,1,0,0,0
239,2,386,302,9,13,1,0,0,0
240,1,543,246,16,14,0,1,0,0
240,2,558,261,15,14,0,1,0,0
241,1,320,56,11,26,1,0,0,0
241,2,340,71,12,19,1,0,0,0
241,3,327,63,11,20,1,0,0,0
242,1,82,171,15,15,0,-1,0,0
242,2,134,256,18,14,0,-1,0,0
242,3,51,164,16,16,0,-1,0,0
242,4,178,238,14,11,0,-1,0,0
243,1,300,136,21,18,0,1,0,0
244,1,444,66,11,26,1,0,0,0
244,2,464,84,10,21,1,0,0,0
244,3,451,75,10,19,1,0,0,0
245,1,274,325,11,23,1,0,0,0
246,1,229,51,11,26,1,0,0,0
246,2,248,67,14,21,1,0,0,0
246,3,237,57,11,22,1,0,0,0
247,1,351,264,11,23,1,0,0,0
248,1,72,171,15,15,0,-1,0,0
248,2,129,255,18,14,0,-1,0,0
248,3,41,163,16,16,0,-1,0,0
248,4,173,236,14,11,0,-1,0,0
249,1,305,141,21,18,0,1,0,0
250,1,306,263,9,14,1,0,0,0
250,2,325,355,11,21,1,0,0,0
251,1,189,45,11,26,1,0,0,0
251,2,209,61,11,22,1,0,0,0
251,3,197,56,9,19,1,0,0,0
252,1,535,288,20,18,0,1,0,0
252,2,549,304,18,15,0,1,0,0
253,1,497,230,17,13,0,1,0,0
253,2,509,244,17,15,0,1,0,0
254,1,277,331,11,23,1,0,0,0
255,1,196,49,11,26,1,0,0,0
255,2,216,68,13,18,1,0,0,0
255,3,204,59,14,21,1,0,0,0
256,1,323,139,21,18,0,1,0,1
257,1,532,298,16,14,0,1,0,0
257,2,545,312,15,14,0,1,0,0
258,1,389,179,11,23,1,0,0,0
259,1,542,256,16,14,0,1,0,0
259,2,556,269,15,14,0,1,0,0
260,1,349,256,9,12,1,0,0,0
260,2,374,272,9,13,1,0,0,0
261,1,75,172,15,15,0,-1,0,0
261,2,175,240,18,14,0,-1,0,0
261,3,32,174,16,16,0,-1,0,0
261,4,211,219,14,11,0,-1,0,0
262,1,383,117,21,18,0,1,0,1
263,1,313,136,21,18,0,1,0,0
264,1,251,49,11,26,1,0,0,0
264,2,272,66,13,21,1,0,0,0
264,3,260,57,10,22,1,0,0,0
265,1,551,239,16,14,0,1,0,0
265,2,566,251,15,14,0,1,0,0
266,1,350,50,11,26,1,0,0,0
266,2,368,68,14,21,1,0,0,0
266,3,358,63,9,19,1,0,0,0
267,1,376,251,9,14,1,0,0,0
267,2,389,284,9,13,1,0,0,0
268,1,446,69,11,26,1,0,0,0
268,2,466,85,11,21,1,0,0,0
268,3,454,78,11,19,1,0,0,0
269,1,583,250,16,14,0,1,0,0
269,2,597,262,15,14,0,1,0,0
270,1,566,256,16,14,0,1,0,1
270,2,579,268,14,15,0,1,0,1
271,1,276,331,11,23,1,0,0,0
272,1,303,250,9,14,1,0,0,0
272,2,320,344,11,18,1,0,0,0
273,1,369,233,10,16,1,0,0,0
273,2,384,259,9,13,1,0,0,0
274,1,108,155,15,15,0,-1,0,0
274,3,68,160,16,16,0,-1,0,0
274,4,262,187,14,11,0,-1,0,0
275,1,434,112,11,23,1,0,0,0
276,1,173,51,11,26,1,0,0,0
276,2,193,67,13,21,1,0,0,0
276,3,180,61,12,19,1,0,0,0
277,1,402,55,11,26,1,0,0,0
277,2,420,74,13,21,1,0,0,0
277,3,409,64,12,22,1,0,0,0
278,1,108,155,15,15,0,-1,0,0
278,3,68,159,16,16,0,-1,0,0
278,4,264,185,14,11,0,-1,0,0
279,1,369,257,9,14,1,0,0,0
279,2,392,337,9,13,1,0,0,0
280,1,384,248,9,14,1,0,0,0
280,2,408,321,9,13,1,0,0,0
281,1,74,169,15,15,0,-1,0,0
281,2,140,250,18,14,0,-1,0,0
281,3,40,161,16,16,0,-1,0,0
281,4,184,229,14,11,0,-1,0,0
282,1,325,140,21,18,0,1,0,0
283,1,390,115,21,18,0,1,0,0
284,1,372,280,9,14,1,0,0,0
284,2,381,323,9,13,1,0,0,0
285,1,399,183,9,14,1,0,0,0
285,2,412,240,9,13,1,0,0,0
286,1,551,240,16,14,0,1,0,0
286,2,563,255,15,14,0,1,0,0
287,1,534,299,16,14,0,1,0,0
287,2,547,312,15,14,0,1,0,0
288,1,361,261,11,23,1,0,0,0
289,1,317,136,21,18,0,1,0,0
290,1,188,47,11,26,1,0,0,0
290,2,209,63,12,18,1,0,0,0
290,3,196,55,12,19,1,0,0,0
291,1,194,42,11,26,1,0,0,0
291,2,215,56,12,22,1,0,0,0
291,3,202,51,10,20,1,0,0,0
292,1,403,57,11,26,1,0,0,0
292,2,420,74,14,22,1,0,0,0
292,3,410,64,12,21,1,0,0,0
293,1,399,219,9,14,1,0,0,0
293,2,418,281,9,13,1,0,0,0
294,1,443,68,11,24,1,0,0,0
294,2,463,83,11,23,1,0,0,0
294,3,451,75,11,22,1,0,0,0
295,1,303,134,21,18,0,1,0,0
296,1,318,136,21,18,0,1,0,0
297,1,387,115,21,18,0,1,0,0
298,1,391,233,9,14,1,0,0,0
298,2,402,280,9,13,1,0,0,0
299,1,80,168,15,15,0,-1,0,0
299,2,173,240,18,14,0,-1,0,0
299,3,36,167,16,16,0,-1,0,0
299,4,209,218,14,11,0,-1,0,0
300,1,337,65,11,18,1,0,0,0
300,2,352,81,13,19,1,0,0,0
300,3,343,71,13,19,1,0,0,0
301,1,158,162,15,15,0,-1,0,0
301,2,190,248,18,14,0,-1,0,0
301,3,135,152,16,16,0,-1,0,0
301,4,226,240,14,11,0,-1,0,0
302,1,395,120,11,23,1,0,0,0
303,1,546,276,16,14,0,1,0,1
303,2,559,290,15,14,0,1,0,1
304,1,87,169,15,15,0,-1,0,0
304,2,135,254,18,14,0,-1,0,0
304,3,59,159,16,16,0,-1,0,0
304,4,176,240,14,11,0,-1,0,0
305,1,111,149,15,15,0,-1,0,0
305,3,83,159,16,16,0,-1,0,0
305,4,282,160,14,11,0,-1,0,0
306,1,337,65,11,21,1,0,0,0
306,2,353,79,11,20,1,0,0,0
306,3,348,70,5,21,1,0,0,0
307,2,345,379,9,13,1,0,0,0
308,1,75,166,15,15,0,-1,0,0
308,2,154,244,18,14,0,-1,0,0
308,3,36,163,16,16,0,-1,0,0
308,4,193,222,14,11,0,-1,0,0
309,1,433,115,11,23,1,0,0,0
310,1,540,255,16,14,0,1,0,1
310,2,553,268,15,14,0,1,0,1
311,1,276,331,11,23,1,0,0,0
312,1,372,239,9,14,1,0,0,0
312,2,387,270,9,13,1,0,0,0
313,1,111,149,15,15,0,-1,0,0
313,3,83,159,16,16,0,-1,0,0
313,4,281,162,14,11,0,-1,0,0
314,1,550,241,16,14,0,1,0,0
314,2,563,255,15,14,0,1,0,0
315,1,370,66,11,17,1,0,0,0
315,2,384,83,11,15,1,0,0,0
315,3,376,72,9,16,1,0,0,0
316,1,426,117,11,23,1,0,0,0
317,1,532,298,16,14,0,1,0,0
317,2,545,312,15,14,0,1,0,0
318,1,391,57,13,27,1,0,0,0
318,2,411,75,10,23,1,0,0,0
318,3,400,69,10,19,1,0,0,0
319,1,60,172,15,15,0,-1,0,0
